"id","gender","birthyr","race","educ","faminc","inputstate","pid3","pid7","votereg","ideo5","newsint","marstat","child18","employ","presvote16post","region"
131732488,2,1953,1,5,1,48,1,1,1,1,1,5,2,6,1,3
159550215,2,1929,1,5,11,41,1,1,1,2,1,4,2,2,1,4
135183908,2,1945,1,5,97,17,1,1,1,2,2,1,2,5,7,2
133868230,2,1939,1,5,5,42,2,7,1,4,1,4,2,5,2,1
132423395,2,1942,1,5,7,39,4,5,1,2,1,1,2,5,2,2
134429973,2,1951,1,5,3,4,2,7,1,4,2,3,2,2,2,4
143620994,2,1928,1,5,97,26,2,7,1,4,1,4,2,5,2,2
132923965,2,1947,1,5,6,36,3,5,1,4,1,1,2,2,2,1
132276388,2,1951,1,5,5,8,3,5,1,4,1,2,1,5,2,4
14179703,2,1926,1,5,6,22,1,1,1,2,1,4,2,5,1,3
133822002,2,1953,1,5,8,53,4,4,1,1,1,1,2,5,4,4
133766793,2,1948,1,5,10,4,1,2,1,3,1,1,2,5,1,4
137965463,2,1941,1,5,97,16,1,1,1,2,1,3,2,5,1,4
134649920,2,1951,1,5,4,12,4,5,1,5,2,4,2,2,2,3
133230908,2,1953,1,5,10,29,1,1,1,3,2,1,2,1,1,2
132881594,2,1952,1,5,3,12,1,1,1,2,2,5,2,5,1,3
135308746,2,1949,1,5,9,35,1,1,1,2,1,6,2,5,1,4
132938700,2,1951,1,5,97,17,1,1,1,1,1,1,2,5,1,2
329405355,2,1925,1,5,2,37,2,7,1,5,1,5,2,5,2,3
137419099,2,1924,1,5,4,6,1,1,1,1,1,3,2,5,1,4
135148656,2,1953,1,5,6,39,2,6,1,4,1,1,2,2,2,2
132746529,2,1951,1,5,97,8,1,1,1,1,1,1,2,5,1,4
132362278,2,1952,1,5,4,29,2,7,1,4,1,3,2,5,2,2
132403284,2,1952,1,5,3,26,1,1,1,2,1,3,2,2,1,2
132431697,2,1950,1,5,10,5,2,6,1,5,1,1,2,2,2,3
135314507,2,1946,1,5,8,26,1,2,1,3,1,1,2,5,3,2
131911086,2,1947,1,5,4,25,3,3,1,3,1,3,2,5,1,1
140877176,2,1941,1,5,4,4,1,1,1,2,1,1,2,5,1,4
286304948,2,1931,1,5,97,21,1,2,1,3,2,4,2,5,1,3
137098933,2,1939,1,6,8,42,3,5,1,3,1,1,2,5,1,1
133064896,2,1953,1,6,12,12,1,2,1,2,1,1,2,2,1,3
132816585,2,1951,1,6,4,24,1,1,1,2,1,5,2,2,1,3
133941086,2,1942,1,6,11,25,1,1,1,1,1,5,2,5,1,1
135504823,2,1951,1,6,12,6,1,1,1,1,1,1,2,2,1,4
132801542,2,1945,1,6,5,6,1,1,1,1,1,4,2,2,1,4
292913732,2,1933,1,6,12,17,4,3,1,2,1,1,2,5,1,2
137934215,2,1951,1,6,11,51,3,4,1,3,1,1,2,6,2,3
138075846,2,1950,1,6,97,48,5,8,1,4,5,1,2,5,6,3
137556502,2,1952,1,6,16,34,1,1,1,2,1,1,2,5,1,1
135660944,2,1952,1,6,97,12,3,3,1,3,1,5,2,9,1,3
134417716,2,1949,1,6,11,44,2,7,1,5,1,1,2,5,2,1
133232595,2,1948,1,6,7,1,2,7,1,4,1,1,2,5,2,3
138138832,2,1934,1,6,1,41,4,3,1,1,1,3,2,2,1,4
131835738,2,1952,1,6,97,48,1,1,1,1,1,3,2,1,1,3
142817961,2,1936,1,6,10,27,3,5,1,4,1,1,2,5,2,2
133685159,2,1946,1,6,97,4,1,1,1,3,2,6,2,5,1,4
134066869,2,1937,1,6,10,36,1,1,1,2,1,4,2,5,1,1
133304135,2,1940,1,6,10,26,2,6,1,4,1,4,2,5,2,2
140793687,2,1951,1,6,10,6,1,1,1,2,1,1,2,1,1,4
138834261,2,1951,1,6,6,19,3,3,1,3,2,3,2,2,1,2
384713307,2,1933,1,6,10,51,1,1,1,2,1,1,2,5,1,3
135145009,2,1952,1,6,4,12,2,6,1,4,1,1,2,4,2,3
135032561,2,1946,1,6,97,55,4,5,1,4,1,1,2,5,2,2
132575295,2,1950,1,6,10,39,1,1,1,1,1,1,2,5,1,2
136514181,2,1950,1,6,13,34,2,6,1,4,2,1,2,2,1,1
133221598,2,1952,1,6,8,36,1,1,1,3,1,5,2,1,1,1
133937201,2,1953,1,6,8,25,3,5,1,3,1,5,2,5,2,1
330372125,2,1924,1,6,6,25,1,1,1,2,1,4,2,5,1,1
133815793,2,1949,1,6,5,48,1,1,1,2,1,1,2,5,1,3
135862635,2,1944,1,6,4,45,3,4,1,3,2,6,2,5,1,3
135318273,2,1932,1,6,97,12,1,1,1,3,1,3,2,5,1,3
132832615,2,1950,1,6,7,36,1,1,1,2,2,3,2,1,1,1
142963421,2,1936,1,6,13,36,1,1,1,1,1,4,2,2,1,1
136042395,2,1952,1,6,9,54,1,1,1,1,1,3,2,5,1,3
131921544,2,1950,1,6,5,53,1,2,1,3,1,6,2,9,1,4
133204378,2,1948,1,6,12,48,1,1,1,3,1,1,2,1,1,3
135702118,2,1944,1,6,97,24,2,6,1,3,2,3,2,1,2,3
137120248,2,1950,1,6,7,39,3,5,1,4,1,1,2,5,2,2
132751205,2,1952,1,6,11,48,1,1,1,3,1,1,2,1,1,3
131778779,2,1953,1,6,8,6,1,2,1,1,1,1,2,2,1,4
139512778,2,1952,1,6,97,17,3,5,1,4,1,1,2,5,2,2
133196629,2,1949,1,6,3,17,1,1,1,3,1,3,2,5,1,2
132541709,2,1946,1,6,9,12,1,2,1,1,1,2,2,5,1,3
153271033,1,1984,6,2,12,6,4,5,1,3,1,3,2,1,2,4
313787410,1,1979,8,2,8,19,3,5,1,4,1,1,1,1,2,2
398519932,1,1982,4,2,5,51,3,3,1,3,3,5,2,1,1,3
327897352,1,1975,6,1,97,6,3,4,3,3,1,1,1,4,7,4
397309142,1,1979,7,2,97,29,3,4,1,6,1,1,1,9,2,2
387561481,1,1984,8,2,3,12,3,5,1,4,2,5,2,2,2,3
318318482,1,1979,5,2,10,13,4,4,2,6,4,5,1,7,7,3
342190337,1,1981,4,2,12,36,2,6,1,3,3,5,1,1,1,1
355312348,1,1986,4,1,97,26,2,7,1,4,4,5,2,2,2,2
140294139,1,1976,6,2,4,37,3,5,1,4,1,5,2,1,2,3
287948954,1,1987,6,2,4,54,3,3,2,3,3,6,2,6,7,3
282292205,1,1988,6,1,6,42,1,1,1,3,3,6,2,1,1,1
349533358,1,1981,5,2,3,18,3,4,1,5,3,5,1,4,3,2
374507160,1,1977,5,2,3,40,3,5,1,3,1,1,1,1,2,3
345844561,1,1982,7,2,97,16,4,4,3,6,2,1,1,5,7,4
139730506,1,1977,7,4,10,13,1,2,1,3,1,1,2,1,1,3
291156515,1,1983,4,3,6,6,3,3,2,4,4,1,2,1,7,4
281404157,1,1986,6,3,10,8,1,1,1,2,1,5,2,1,1,4
